CPF_EDUCADOR_FISICO,ID_ATIVIDADE
40619423799,4
46380240844,11
46380240844,10
46380240844,13
46380240844,9
46380240844,4
40228367922,8
24588937400,13
24588937400,7
24588937400,11
24588937400,16
24588937400,6
68559707533,2
17180853111,10
17180853111,5
97094135977,14
42155006300,4
42155006300,9
42155006300,13
30035907155,9
30035907155,3
39092032999,8
39092032999,11
39092032999,3
39092032999,10
39092032999,1
26095415700,5
59918670544,1
59918670544,11
59918670544,10
59918670544,9
21822944222,10
21822944222,14
21822944222,4
15012832277,5
15012832277,11
15012832277,16
15012832277,3
15012832277,6
48443953866,3
69033441444,14
69033441444,4
61829061388,12
61829061388,14
61829061388,6
61829061388,4
67461257188,2
67461257188,9
67461257188,7
67461257188,1
67461257188,6
94389503388,16
94389503388,7
98237610433,5
98237610433,11
98237610433,13
98237610433,14
98237610433,16
91375320066,3
91375320066,10
91375320066,16
68666676400,3
68666676400,16
68666676400,5
68666676400,15
68666676400,4
18287068922,4
73082495144,12
73082495144,3
47012494088,6
47012494088,11
47012494088,13
47012494088,10
32011667311,7
32011667311,6
32011667311,14
32011667311,13
32011667311,1
18871490400,10
18871490400,13
18871490400,15
18871490400,6
18871490400,7
26311927299,14
26311927299,7
69320797800,10
69320797800,12
69320797800,1
69320797800,16
69680754155,13
69680754155,2
69680754155,12
69680754155,10
68727129455,2
68727129455,1
68727129455,13
68727129455,14
68727129455,16
35755737788,14
35755737788,12
35755737788,15
70329008366,2
70329008366,11
70329008366,5
70329008366,13
70329008366,3
81924701211,11
44549294166,5
64626159744,8
64626159744,7
64626159744,10
64626159744,15
64626159744,2
35353368211,2
58313682544,12
58313682544,15
58313682544,4
30345961200,15
30345961200,16
30345961200,3
30345961200,6
30345961200,7
41283994422,2
41283994422,5
48290465033,16
48290465033,15
48290465033,7
49685575233,2
49685575233,10
49685575233,6
49685575233,9
67502637988,8
15853166877,15
32257024711,14
11535052400,12
11535052400,13
79741935655,8
79741935655,10
79741935655,15
79741935655,13
79741935655,9
18434457600,4
18434457600,3
35319728633,1
35319728633,4
35319728633,14
35319728633,6
25377598933,4
25377598933,3
25377598933,16
25377598933,12
25377598933,10
54303046388,12
54303046388,3
54303046388,4
54303046388,14
54303046388,13
97272829700,6
97272829700,4
97272829700,10
97272829700,11
97272829700,15
10511931177,7
10511931177,9
10511931177,12
85972018199,3
85972018199,7
76171340533,4
76171340533,6
13477855744,8
13477855744,9
13477855744,6
13477855744,1
10780123344,11
10780123344,8
10780123344,6
10780123344,13
76651200322,16
76651200322,13
23013996999,12
23013996999,15
70062006366,14
70062006366,7
70062006366,11
70062006366,4
23951396022,2
23951396022,13
23951396022,8
23951396022,12
72502549799,14
49454262100,9
49454262100,10
49454262100,3
72951194188,1
72951194188,11
72951194188,9
72951194188,6
84324784588,15
84324784588,10
84324784588,5
84324784588,4
17353111466,6
17353111466,2
17353111466,10
81435067899,7
81435067899,1
90839246888,12
90839246888,11
54440889755,2
54440889755,1
54440889755,16
14370599455,9
14370599455,7
14370599455,5
14370599455,14
14370599455,6
37814585200,2
54665960277,9
54665960277,10
54665960277,6
83359007600,11
83359007600,1
83359007600,12
83359007600,5
40539536855,10
40539536855,14
70916303788,12
92045785055,3
92045785055,8
92045785055,10
92045785055,2
92045785055,7
40662121666,8
36016245911,14
36016245911,9
36016245911,12
36016245911,3
12116066788,11
12116066788,2
56864141222,3
56864141222,11
56864141222,12
52718178811,2
86172928811,15
22511294999,2
12512431266,5
12512431266,3
12512431266,8
12512431266,10
12512431266,1
69695927077,3
69695927077,4
69695927077,11
69695927077,12
99226899288,2
99226899288,15
99226899288,7
99226899288,3
72353774022,15
72353774022,12
72353774022,10
72353774022,2
72353774022,1
91213437800,4
91213437800,16
91213437800,2
91213437800,7
91213437800,15
82725379666,10
82725379666,8
82725379666,12
82725379666,2
44209470200,11
44209470200,3
44209470200,12
19352821900,11
13475610055,16
13475610055,5
13475610055,13
13475610055,12
13475610055,8
74434355333,2
74434355333,10
74434355333,9
74434355333,13
14533072144,2
14533072144,5
14533072144,9
14533072144,8
14533072144,6
46122675322,11
46122675322,15
46122675322,4
46122675322,7
46122675322,6
