CPF_FUNCIONARIO,ATRIBUICAO
65369468711,Supervisor de Recreação
47347466055,Nutricionista Esportivo
20320810244,Técnico de Futebol
44546973966,Analista de Performance
11541805222,Preparador Físico
28536436200,Professor de Natação
89235755000,Professor de Educação Física
45596889077,Supervisor de Recreação
76137017600,Monitores de Atividades Recreativas
55648854300,Monitores de Atividades Recreativas
11839503811,Psicólogo Esportivo
18885379499,Especialista em Medicina Esportiva
69866387366,Gerente de Eventos Esportivos
15336533644,Gestor de Programas Esportivos
54827010933,Professor de Educação Física
50608606800,Nutricionista Esportivo
26178643322,Professor de Educação Física
13864933099,Preparador Físico
99940533100,Professor de Yoga ou Pilates
62906838966,Professor de Natação
78665677277,Especialista em Medicina Esportiva
56361246277,Gestor de Programas Esportivos
58684797777,Professor de Yoga ou Pilates
16651071700,Treinador de Atletismo
90296638633,Fisioterapeuta
62781875077,Fisioterapeuta
12442377011,Coordenador de Atividades Esportivas
80141223999,Monitores de Atividades Recreativas
82008403955,Professor de Educação Física
44504223411,Nutricionista Esportivo
83811137844,Nutricionista Esportivo
80471562255,Administrador de Ginásio
37728712677,Professor de Educação Física
54095156177,Gestor de Programas Esportivos
45890079400,Coordenador de Atividades Esportivas
76799419711,Gerente de Eventos Esportivos
42452528044,Técnico de Futebol
62672809855,Gerente de Eventos Esportivos
27520031100,Gerente de Eventos Esportivos
64908747844,Gestor de Programas Esportivos
52257357977,Administrador de Ginásio
62154564033,Administrador de Ginásio
70951846155,Instrutor de Musculação
17566289555,Preparador Físico
23403854666,Coordenador de Atividades Esportivas
85429374811,Monitores de Atividades Recreativas
95667749744,Analista de Performance
81188177922,Instrutor de Musculação
10797000722,Monitores de Atividades Recreativas
24645557700,Psicólogo Esportivo
17098939077,Fisioterapeuta
53726978144,Técnico de Futebol
82492650099,Técnico de Futebol
34627642500,Administrador de Ginásio
48140309833,Nutricionista Esportivo
73361191822,Professor de Yoga ou Pilates
66780276399,Monitores de Atividades Recreativas
61185771700,Preparador Físico
72182994744,Gestor de Programas Esportivos
87060851800,Supervisor de Recreação
97242697799,Instrutor de Musculação
85877889900,Técnico de Vôlei
22454386044,Professor de Natação
15069978133,Instrutor de Musculação
46939991488,Treinador de Atletismo
72711432700,Instrutor de Musculação
50767094555,Professor de Natação
52778157911,Treinador de Atletismo
73933571600,Professor de Natação
47494990566,Treinador de Atletismo
83584920300,Coordenador de Atividades Esportivas
22675845066,Especialista em Medicina Esportiva
74309602277,Gerente de Eventos Esportivos
55742191588,Gestor de Programas Esportivos
75937465422,Instrutor de Musculação
99578427144,Treinador de Atletismo
91892587200,Instrutor de Musculação
29610146700,Instrutor de Musculação
22130897100,Supervisor de Recreação
28951805633,Preparador Físico
63383871677,Coordenador de Atividades Esportivas
51316400244,Professor de Yoga ou Pilates
14730913066,Monitores de Atividades Recreativas
90368559000,Supervisor de Recreação
15579297266,Analista de Performance
62689458911,Fisioterapeuta
60465222422,Supervisor de Recreação
37683778655,Preparador Físico
64433334544,Professor de Educação Física
60979002288,Gestor de Programas Esportivos
69148545300,Administrador de Ginásio
14940192722,Professor de Natação
74049857222,Professor de Natação
30004195433,Técnico de Vôlei
47124027333,Analista de Performance
41596656166,Técnico de Futebol
21116837100,Professor de Educação Física
91027519500,Psicólogo Esportivo
11321751788,Supervisor de Recreação
98558219122,Fisioterapeuta
44142249266,Analista de Performance
82373823155,Professor de Educação Física
32355624788,Supervisor de Recreação
19863628688,Coordenador de Atividades Esportivas
52992017700,Treinador de Atletismo
63473337911,Fisioterapeuta
44865612522,Treinador de Atletismo
71278402022,Coordenador de Atividades Esportivas
28484572799,Preparador Físico
