CPF_FUNCIONARIO,RESTRICAO_FISICA
78419427455,Deficiência auditiva
65347663022,Problemas de coluna
57686246944,Artrite
16949594811,Asma
55791227133,Lesão no joelho
30805248700,Lesão no joelho
88150777588,Asma
58960427877,Problemas de coluna
34053952088,Hipertensão
15389392155,Problemas cardíacos
99945435399,Hipertensão
82912423644,Restrição para atividades de impacto
23356328766,Deslocamento no ombro
62658715366,Asma
97583651344,Problemas cardíacos
17368470822,Asma
90223126155,Problemas cardíacos
96361513933,Asma
64112189433,Lesão no joelho
46547996722,Problemas cardíacos
88253427211,Artrite
33669645611,Artrite
97828609055,Lesão no joelho
52860579699,Lesão no tornozelo
92960237188,Deslocamento no ombro
17942186377,Deslocamento no ombro
37665167877,Restrição para atividades de impacto
48723205300,Asma
82090364911,Asma
50299193255,Lesão no tornozelo
94481365955,Hipertensão
65981767866,Problemas de coluna
14255061355,Deslocamento no ombro
38296176311,Problemas de coluna
68352892522,Lesão no joelho
93832442755,Asma
39029136300,Deslocamento no ombro
39973511800,Artrite
40919104322,Deficiência auditiva
55508186122,Problemas de coluna
48688514388,Lesão no joelho
11587381533,Lesão no joelho
17295099166,Lesão no joelho
60123926211,Asma
35349136633,Lesão no joelho
14343964522,Problemas de coluna
60406271077,Lesão no tornozelo
30963279399,Problemas de coluna
78978874488,Lesão no tornozelo
77011093900,Lesão no joelho
58458433244,Problemas de coluna
25852732455,Hipertensão
68580048311,Asma
52016392322,Problemas de coluna
57326829888,Problemas cardíacos
72434516911,Artrite
18814542155,Restrição para atividades de impacto
36287205677,Hipertensão
16624050300,Restrição para atividades de impacto
54262491300,Artrite
18730263077,Deficiência auditiva
42812414188,Asma
65230418166,Restrição para atividades de impacto
72308373400,Artrite
32956193522,Problemas cardíacos
93057830666,Hipertensão
18131267555,Problemas de coluna
99675712177,Lesão no tornozelo
64475439500,Deficiência auditiva
76578196699,Lesão no joelho
75556912300,Artrite
51987409855,Artrite
60681001033,Deslocamento no ombro
27436823299,Deslocamento no ombro
32114965566,Asma
56916709133,Problemas de coluna
87082708722,Problemas cardíacos
43525583622,Problemas de coluna
76619798966,Restrição para atividades de impacto
59574019355,Lesão no joelho
36829278400,Problemas de coluna
37233119700,Asma
51112424900,Deficiência auditiva
83114554066,Deslocamento no ombro
83918781988,Deficiência auditiva
13010411144,Hipertensão
17560585122,Restrição para atividades de impacto
83798561800,Artrite
37511944600,Problemas cardíacos
73483704466,Problemas cardíacos
32340940044,Lesão no joelho
83715594100,Lesão no joelho
56452356499,Deslocamento no ombro
47385588111,Restrição para atividades de impacto
78631246111,Deficiência auditiva
79682981566,Artrite
84949931511,Problemas de coluna
19307842955,Lesão no joelho
37109163999,Restrição para atividades de impacto
74375838366,Problemas cardíacos
62659669799,Lesão no joelho
89046488233,Lesão no tornozelo
73714717922,Restrição para atividades de impacto
51258383222,Lesão no joelho
37396781866,Asma
65744420288,Problemas de coluna
39392411488,Problemas de coluna
11343035800,Problemas de coluna
56674524055,Deficiência auditiva
47242671600,Artrite
97632358200,Deficiência auditiva
95137772788,Deslocamento no ombro
61096320822,Artrite
70905205877,Problemas cardíacos
33313173733,Lesão no joelho
47243279799,Asma
45278707000,Asma
15079329011,Deslocamento no ombro
46701280000,Problemas de coluna
13861606877,Artrite
85133549377,Lesão no joelho
16494965677,Problemas cardíacos
84131803844,Problemas cardíacos
12507606077,Lesão no tornozelo
63322396622,Asma
46932792422,Asma
21324460911,Deslocamento no ombro
42823803066,Lesão no tornozelo
23706947000,Problemas cardíacos
61681574255,Problemas cardíacos
27376902000,Restrição para atividades de impacto
65000772299,Problemas de coluna
12262637988,Restrição para atividades de impacto
42406743011,Artrite
26153139244,Hipertensão
97856459400,Lesão no tornozelo
75133211911,Lesão no joelho
64770997800,Problemas cardíacos
71795990422,Problemas cardíacos
43010141444,Deslocamento no ombro
11270065255,Problemas cardíacos
13457902288,Hipertensão
12229748866,Lesão no tornozelo
43993022833,Restrição para atividades de impacto
93540462077,Problemas cardíacos
61569589911,Artrite
14208120766,Artrite
80628320822,Restrição para atividades de impacto
64898319377,Lesão no tornozelo
26317402899,Lesão no joelho
81178396600,Artrite
22803859100,Deslocamento no ombro
63464042299,Lesão no tornozelo
44930704044,Artrite
36674218422,Hipertensão
86963813866,Asma
44144002011,Restrição para atividades de impacto
25899530388,Asma
12192528599,Hipertensão
43500408111,Hipertensão
59796473844,Deficiência auditiva
97441479111,Lesão no tornozelo
77814118200,Lesão no joelho
96516875766,Artrite
95019431199,Lesão no joelho
45325596422,Deslocamento no ombro
89551730400,Deficiência auditiva
39781895933,Problemas cardíacos
50842032988,Problemas de coluna
56735083288,Artrite
30292039722,Problemas de coluna
33129221944,Problemas de coluna
50996255177,Problemas cardíacos
67628122288,Deslocamento no ombro
43737694000,Deficiência auditiva
28614241688,Deslocamento no ombro
26940476100,Artrite
84781752611,Restrição para atividades de impacto
68235283700,Lesão no joelho
28397549755,Restrição para atividades de impacto
