CPF,NOME,EMAIL,CELULAR,DATA_NASCIMENTO
53862687322,Sra. Isadora Marques,sabrinafernandes@example.net,(11) 94187-2773,1972-01-21
35200099000,José Miguel Nascimento,ianpimenta@example.org,(11) 95925-2123,1947-11-24
55091025788,Bruna da Mata,ymonteiro@example.org,(11) 91065-3648,1988-03-25
71414859533,Srta. Maria Garcia,camposisis@example.com,(11) 97288-2382,1996-01-12
17180853111,Yan Aparecida,pedro-henriquecunha@example.com,(11) 99254-1755,1993-08-08
45027114544,Gustavo Abreu,josuesales@example.net,(11) 94420-3097,1957-10-26
19310197388,Catarina Ramos,esterporto@example.org,(11) 94232-5449,1955-10-04
28212318066,Renan Sousa,marquesisabela@example.com,(11) 97094-6491,1983-08-13
81296348055,Bárbara Rios,vitoriacastro@example.net,(11) 96406-5879,1997-10-10
22808949800,Liam da Cruz,galbuquerque@example.net,(11) 91405-6230,1952-02-05
60437779322,Esther Castro,arthur-gabriel33@example.net,(11) 95863-5533,2006-06-20
17646797922,Agatha Costa,camaramaria-eduarda@example.com,(11) 94149-4638,1967-04-19
19968100900,Maria Flor Araújo,vitorda-rocha@example.org,(11) 98757-7960,1991-01-26
22752595622,Bruno Costela,yuriduarte@example.net,(11) 95198-3991,1977-05-24
72009124766,Alana Leão,gabriel40@example.net,(11) 94311-9064,1989-12-04
53974352288,Ana Laura Pimenta,martinsian@example.net,(11) 97026-5658,1978-12-20
14669720844,Isadora Oliveira,camaralucas-gabriel@example.com,(11) 92538-7583,1999-10-24
78132757211,Calebe Cirino,araujoravi@example.com,(11) 96450-2133,1969-02-11
18950073566,Diogo Mendonça,zaparecida@example.net,(11) 97789-8082,2006-02-04
37814585200,Maria Isis Nunes,luaranogueira@example.net,(11) 91110-4865,1951-07-13
35233645077,Ana Carolina Lopes,jmoura@example.org,(11) 97939-9547,1990-08-27
67767548100,Sr. Benício da Cruz,olivia06@example.net,(11) 92553-2542,1955-11-13
58595292100,Kevin Cirino,anthony-gabrielrodrigues@example.com,(11) 95849-8788,1971-03-19
16223059144,Lucas Gabriel Moura,ggomes@example.net,(11) 93357-5262,1945-11-28
31514109288,Júlia Costa,ana-juliacassiano@example.net,(11) 94882-9263,1992-01-10
