CPF_PARTICIPANTE,ID_ATIVIDADE,CPF_CONVIDANTE_INTERNO,DATA_INSCRICAO
84754934599,4,63611091944,2023-09-18
84754934599,14,,2023-01-14
10765039344,4,,2023-08-11
21782505722,7,78602763644,2023-10-25
21782505722,10,,2023-12-23
46562774288,5,,2023-06-28
46562774288,2,,2023-06-12
46562774288,1,78409115600,2023-03-31
89173148800,5,,2023-01-23
89173148800,14,96650119955,2023-01-16
42366601644,13,72758491866,2023-07-20
94118035122,10,29360733911,2023-03-15
94118035122,6,,2023-01-07
55541336066,16,,2023-05-07
55541336066,11,,2023-10-08
55541336066,12,,2023-11-14
22203670611,7,69999507844,2023-09-18
22203670611,14,,2023-03-05
44895951311,8,,2023-10-12
17261292688,1,42739988233,2023-04-12
17261292688,5,81410253255,2023-09-25
33953183899,14,46663694811,2023-08-11
33953183899,16,,2023-03-29
45580301422,2,,2023-10-14
45580301422,8,,2023-04-15
93885716300,12,92808645644,2023-12-29
83049447588,12,56724099544,2023-12-17
83049447588,15,63014721444,2023-01-06
63909011433,16,,2023-01-23
63909011433,15,,2023-03-03
63909011433,12,,2023-09-27
93632031400,15,,2023-05-16
53669119900,3,84105802500,2023-05-23
53669119900,2,89046488233,2023-10-08
53669119900,11,64065253377,2023-09-04
91088301000,6,,2023-06-20
91088301000,16,15024392200,2023-04-20
91088301000,5,,2023-03-28
76632916466,6,,2023-01-16
76632916466,8,16031540199,2023-12-25
36634755144,3,71696754122,2023-01-01
58295750199,14,,2023-02-08
58295750199,1,,2023-12-25
58295750199,5,,2023-06-11
61860232733,5,88823201466,2023-03-22
61860232733,6,,2023-06-12
61860232733,4,96361513933,2023-07-14
33053287899,5,79778261355,2023-04-24
33053287899,16,,2023-05-02
33053287899,3,74402019811,2023-08-03
65645445700,7,,2023-03-13
65645445700,8,61843231300,2023-02-02
38252976911,1,,2023-08-24
38252976911,15,,2023-09-17
26879144100,4,,2023-02-10
26879144100,13,84138324544,2023-06-21
54123908033,12,,2023-06-23
56500585044,12,,2023-09-17
87185872911,15,,2023-01-20
87185872911,7,,2023-04-05
69860946633,11,,2023-09-25
