CPF,NOME,EMAIL,CELULAR,DATA_NASCIMENTO
49926427644,Luiz Fernando Sá,brodrigues@example.org,(11) 91966-5594,1973-04-09
82658362522,Ana Sophia Rios,da-motastella@example.org,(11) 93242-2278,1958-10-09
38099799700,Ana Leão,liz04@example.com,(11) 95931-9633,1988-03-02
35757550866,Davi Lopes,maria-liz56@example.com,(11) 92562-8903,1975-03-05
50470961655,Benicio Costa,luizada-costa@example.org,(11) 91519-1274,1993-12-14
51084771477,Ravy Cirino,lucas-gabriel74@example.net,(11) 92831-7193,1964-06-09
94464862622,Ana Liz Garcia,epinto@example.org,(11) 92709-9426,2001-07-18
65467762277,Maria Abreu,paulocassiano@example.net,(11) 95917-9597,1950-07-03
22758129200,Asafe Costa,montenegrocaleb@example.org,(11) 94519-4183,1974-05-04
59388568844,Isabelly Sampaio,aragaodavi-lucca@example.org,(11) 94671-8258,2001-09-26
65440169188,Anthony Gabriel Fernandes,yago02@example.com,(11) 97233-2370,1955-06-18
64425595566,Maria Luísa Martins,almeidadavi-miguel@example.com,(11) 94507-6807,1996-03-22
16112816522,Juliana Lima,heloisa23@example.net,(11) 95750-2299,1975-07-23
41078466522,Sra. Aurora Gonçalves,da-rosacamila@example.com,(11) 94207-2712,1991-04-13
43703440422,Vicente Sales,rebeca40@example.org,(11) 95216-7177,1982-10-29
52290358388,Levi Monteiro,zcardoso@example.com,(11) 99696-9094,1988-04-22
94242294700,Yago Correia,maria-luizasousa@example.org,(11) 98668-8257,1967-11-04
51979709522,Srta. Maria Barbosa,salesmaria-julia@example.org,(11) 91569-8003,1957-05-25
71002849611,Hellena Oliveira,apollo52@example.com,(11) 93826-9618,2002-07-23
98891498855,Bento Vargas,hda-conceicao@example.net,(11) 92404-1617,2000-12-30
36642089944,Alexandre Azevedo,vmontenegro@example.org,(11) 94093-6660,2000-11-14
57499561999,Murilo Fernandes,joao-gabriel49@example.org,(11) 99644-1384,1951-12-07
90617851388,Léo Viana,enzo51@example.org,(11) 96421-3978,1973-01-24
85177336655,Alexandre Moraes,catarinavargas@example.net,(11) 94299-8452,1976-09-12
