CPF,NOME,EMAIL,CELULAR,DATA_NASCIMENTO
48510034711,Manuela Melo,moraesvitor@example.org,(11) 98429-2016,1990-08-08
20216574266,Srta. Alice Cassiano,eduardo26@example.net,(11) 97705-4014,1970-01-18
94135467899,Isadora Santos,isabela75@example.net,(11) 95699-3248,1998-01-04
10327013155,Eduarda da Rosa,ybarros@example.org,(11) 99271-6779,1963-09-12
14767569533,Enzo Gabriel Alves,agatha51@example.net,(11) 94560-6299,2006-01-19
97237444900,Maria Fernanda Cardoso,daniel56@example.net,(11) 96983-6130,1954-10-17
79168763966,Lorena Cardoso,arthur-gabriel56@example.net,(11) 98732-6326,1976-09-05
40027431011,Dra. Jade da Costa,ravycasa-grande@example.net,(11) 97231-7791,1979-10-14
95214058999,Rodrigo Siqueira,joana02@example.org,(11) 99630-7162,1971-03-01
60918070488,Diogo da Mata,pedro-miguel81@example.org,(11) 94569-9910,1983-05-03
87573577577,Sr. Erick Gonçalves,enzo-gabriel55@example.com,(11) 91317-8621,1975-02-13
93255137733,Dra. Mariah da Rocha,vieiraheloisa@example.org,(11) 97093-7497,1987-10-29
75354636733,Letícia Albuquerque,emanuella14@example.net,(11) 99846-7432,1954-02-13
61803350366,Paulo Camargo,machadocecilia@example.org,(11) 92532-3199,1985-12-20
53904425555,Enzo Siqueira,oliviada-mata@example.org,(11) 94620-1001,1994-08-06
31320578433,Ravy Ramos,amanda75@example.net,(11) 93292-5153,1960-09-12
28844641077,Catarina Pimenta,dsa@example.com,(11) 97323-8103,2003-09-26
15740687255,João Gabriel Guerra,bryanbrito@example.com,(11) 94708-2995,1975-05-23
98233493988,Dante da Rosa,aparecidacalebe@example.net,(11) 94490-4509,1995-08-05
71564439333,Otto Fonseca,pereiramaria-flor@example.net,(11) 97249-2987,1998-06-02
39783802188,Yasmin Pimenta,vfernandes@example.com,(11) 94965-5717,1960-10-30
19810186977,Maria Julia Casa Grande,lunanascimento@example.org,(11) 91691-4746,2003-05-04
55246232300,Sr. João Gabriel Barbosa,mendesgiovanna@example.com,(11) 97833-3032,1987-09-14
37840984011,Ana Siqueira,wsilva@example.net,(11) 97049-5620,1990-03-26
88517569533,Sr. Emanuel Rezende,moreiraalexia@example.net,(11) 98628-8935,1961-03-24
94252405666,Manuela Cassiano,sarabarros@example.net,(11) 96756-8293,1991-11-23
71510670544,Caio Abreu,yuri22@example.com,(11) 98650-5751,1994-03-26
19395174355,Luan Pimenta,vitor95@example.net,(11) 96788-7110,1983-12-08
79447539533,Vinicius Cirino,almeidaliam@example.org,(11) 92204-2224,1997-09-25
68894808488,Ana Sophia Marques,felipe02@example.net,(11) 96848-4420,1967-11-21
21573417144,Calebe Ramos,dsantos@example.net,(11) 94956-3953,1992-03-16
68647368300,Dra. Ágatha Porto,crodrigues@example.com,(11) 91795-2555,1966-01-04
26278414166,Cauã Correia,bcavalcanti@example.org,(11) 94280-2490,1950-08-26
23693827755,Enzo Gabriel Aragão,joao-pedro82@example.org,(11) 97953-6378,1957-03-20
32559951244,Kamilly Moraes,hmendes@example.com,(11) 98670-2425,1986-09-13
96932126577,Luana Barros,wdas-neves@example.org,(11) 99490-5701,1971-10-05
53106027399,Lavínia Ramos,nascimentoisabel@example.com,(11) 94457-6612,1988-01-19
13566833399,Dra. Luna Montenegro,ceciliaalves@example.org,(11) 93653-5571,1976-12-25
33919516055,Allana da Mota,erickda-cruz@example.net,(11) 95762-9513,1982-11-21
89516303666,Srta. Marcela Dias,cavalcantimaria-julia@example.net,(11) 99016-4743,1976-03-26
13231694155,Bella Cirino,casa-grandejade@example.com,(11) 91701-4366,1991-06-29
41735800455,Marcos Vinicius Câmara,hmacedo@example.org,(11) 99958-7821,1961-12-20
23155893633,Srta. Maya Camargo,lunnafarias@example.com,(11) 97015-3420,1982-05-26
29467655633,Sra. Maria Clara Moraes,pastorcatarina@example.org,(11) 94788-8556,1970-03-01
48019692322,Ian Macedo,mateusmendes@example.com,(11) 93989-6790,1968-08-03
94188155166,Luísa Silva,sofia65@example.com,(11) 94290-9402,1961-02-11
56981997522,Dr. Paulo Leão,beniciojesus@example.net,(11) 92221-9790,1985-11-05
15954019033,Bruna Teixeira,luiz-felipe48@example.com,(11) 97728-9682,1990-12-24
57389402377,Ana Carolina Correia,danilo06@example.org,(11) 91539-4098,1959-03-16
36141262344,Dra. Ayla Duarte,enriconascimento@example.com,(11) 97055-9211,1958-04-14
39186786100,Sophia Barbosa,bianca60@example.com,(11) 94983-9480,1988-03-23
88186556200,Ana Laura Mendes,cda-cunha@example.net,(11) 97253-2877,1950-12-01
71394058400,Alícia Lima,novaisantony@example.com,(11) 99151-4501,1998-08-18
